country,week,cases_w,deaths_w,deaths_w_back2w,dcfr,ifr_low_w,ifr_med_w,ifr_high_w,det_frac_low,det_frac_med,det_frac_high,inf_death_low,inf_death_med,inf_death_high,inf_case_low,inf_case_med,inf_case_high
united kingdom,2021-01-24,252091.0,9508.0,6193.0,0.024566525580048473,0.013305959877295648,0.01968115906507276,0.026517480546424936,0.5416296998913834,0.8011372630184495,1.0,465430.53316787,314666.42688694235,233544.05744383342,465430.53316787,314666.42688694235,233544.0574438334
united kingdom,2021-01-31,170306.0,8092.0,4725.0,0.02774417812643125,0.01175564288206098,0.01740158850023355,0.023569239550085226,0.42371566490418566,0.6272158584382592,0.8495201927654633,401934.63236368925,271526.93559766596,200473.16291046457,401934.63236368925,271526.93559766596,200473.16291046457
united kingdom,2021-02-07,129036.0,6193.0,3550.0,0.027511702160637343,0.01175564288206098,0.01740158850023355,0.023569239550085226,0.427296094346372,0.6325158799200384,0.8566987026999429,301982.6338393855,204004.36431147388,150620.04832426438,301982.6338393855,204004.36431147388,150620.0483242644
united kingdom,2021-02-14,92743.0,4725.0,2379.0,0.025651531651984517,0.01175564288206098,0.01740158850023355,0.023569239550085226,0.45828229836527173,0.6783839942316773,0.9188238686816116,202370.89743771782,136711.65709774545,100936.64646857041,202370.89743771782,136711.65709774545,100936.64646857041
united kingdom,2021-02-21,77665.0,3550.0,1623.0,0.020897444151162042,0.01175564288206098,0.01740158850023355,0.023569239550085226,0.5625397439527209,0.8327137220398267,1.0,138061.35625952753,93267.3474021189,68860.94040289609,138061.35625952756,93267.34740211892,68860.94040289609
united kingdom,2021-02-28,61248.0,2379.0,1128.0,0.01841692789968652,0.01175564288206098,0.01740158850023355,0.023569239550085226,0.6383063964897792,0.9448692309062984,1.0,95953.91858333153,64821.66843474438,47858.99000275217,95953.91858333151,64821.66843474437,47858.99000275217
united kingdom,2021-03-07,42342.0,1623.0,813.0,0.019200793538330735,0.01175564288206098,0.01740158850023355,0.023569239550085226,0.6122477624996631,0.9062952770933445,1.0,69158.27642575224,46719.87272823331,34494.11247538787,69158.27642575224,46719.87272823331,34494.11247538787
united kingdom,2021-03-14,40543.0,1128.0,546.0,0.013467182990898552,0.009235465236792577,0.013002177966888996,0.018209768022979494,0.6857755807605888,0.9654712478234077,1.0,59119.923685579546,41992.9646702598,29983.90750013866,59119.92368557955,41992.9646702598,29983.90750013866
united kingdom,2021-03-21,38485.0,813.0,409.0,0.010627517214499156,0.009235465236792577,0.013002177966888996,0.018209768022979494,0.8690143756429396,1.0,1.0,44285.80363993047,31456.268406842963,22460.472834352953,44285.80363993047,31456.268406842966,22460.472834352953
united kingdom,2021-03-28,36818.0,546.0,322.0,0.008745722201097289,0.009235465236792577,0.013002177966888996,0.018209768022979494,1.0,1.0,1.0,34865.59601970076,24765.081728614754,17682.817243671518,34865.59601970076,24765.08172861475,17682.817243671518
